feature,importance
Bedrooms_int,0.3849311075622167
Bathrooms_num,0.246003936929921
AreaCode_D4,0.10298334469209457
BER_norm_A2,0.057769813406132645
BER_norm_Exempt,0.04422983014706009
AreaCode_D6,0.04206032357712299
Property Type_Studio,0.01525558110336474
Property Type_Apartment,0.014430610630210457
AreaCode_D2,0.01069773395462843
BER_norm_Unknown,0.010068971928079555
AreaCode_OTHER,0.008666220118885487
BER_norm_B3,0.0061298403317354205
Property Type_House,0.005719533220247942
BER_norm_C1,0.004927804073932196
BER_norm_A3,0.0049243230058840315
BER_norm_C3,0.004658650731956669
AreaCode_D15,0.0046207704787264445
AreaCode_D18,0.0035208460402600832
BER_norm_B1,0.0033274627343350184
BER_norm_A1,0.0030686731931528796
BER_norm_C2,0.002807853982419361
AreaCode_D8,0.002425770843996169
AreaCode_D1,0.0023230999787920963
AreaCode_D14,0.002057111320052799
AreaCode_D7,0.001601801000407633
BER_norm_B2,0.0014020163117570747
BER_norm_D1,0.0013492609263847499
AreaCode_D24,0.0011257578737474386
AreaCode_D9,0.001054166123260025
BER_norm_E2,0.0009920087025479477
AreaCode_D3,0.0008669845851475329
BER_norm_D2,0.0008403148794749174
AreaCode_D11,0.0006471238582211986
AreaCode_D22,0.0006184326327971917
AreaCode_D13,0.0004432919669019421
BER_norm_E1,0.0003892976911256546
AreaCode_D12,0.00035348752348086194
AreaCode_D5,0.0002894622291782446
BER_norm_F,0.00014867919214020444
AreaCode_D16,0.0001326598102229789
AreaCode_D10,6.625439550545471e-05
BER_norm_G,6.470453523375205e-05
AreaCode_D20,5.081777257318708e-06
AreaCode_D17,0.0
