URL,Address,Bedrooms,Bathrooms,Property Type,BER Rating,Price (€),lat,lon,nearest_park_km_y,nearest_beach_km_y,nearest_gym_km_y,nearest_supermarket_km_y,nearest_bus_stop_km_y,nearest_rail_station_km_y,nearest_tram_stop_km_y,nearest_park_name_y,nearest_beach_name_y,nearest_gym_name_y,nearest_supermarket_name_y,nearest_bus_stop_name_y,nearest_rail_station_name_y,nearest_tram_stop_name_y,bad_geocode,distance_to_city_centre_km,price_per_bedroom,energy_monthly_estimate,effective_monthly_cost,energy_estimate_available,effective_cost_display
https://www.daft.ie/for-rent/apartment-grand-canal-place-sandwith-street-upper-dublin-2/6148803,"Grand Canal Place, Sandwith Street Upper, Dublin 2",2.0,2.0,Apartment,A3,3300.0,53.3421306,-6.2458704,0.35,2.748,1.137,2.666,1.256,0.225,1.083,Merrion Square Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,St Stephen's Green Luas,False,1.2824794420294128,1650.0,64.0,3364.0,True,3364.0
https://www.daft.ie/for-rent/house-graydon-walk-newcastle-co-dublin/6197534,"Graydon Walk, Newcastle, Co. Dublin",2.0,3.0,House,A2,2400.0,53.2954756,-6.4982024,13.093,19.471,16.457,15.8,16.558,14.86,16.384,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,False,16.916191133004457,1200.0,38.0,2438.0,True,2438.0
https://www.daft.ie/for-rent/house-ballycorus-road-kilternan-stepaside-dublin-18/6211900,"Ballycorus Road, Kilternan, Stepaside, Dublin 18",4.0,2.0,House,C1,3250.0,53.2348586,-6.1726051,12.672,5.113,5.239,5.841,12.271,13.107,11.954,Merrion Square Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,14.047213926599344,812.0,166.0,3416.0,True,3416.0
https://www.daft.ie/for-rent/house-riverwood-gardens-dublin-15-castleknock-dublin-15/6208531,"Riverwood Gardens, Dublin 15, Castleknock, Dublin 15",3.0,3.0,House,C1,2738.0,53.373437,-6.3941613,4.648,13.139,9.38,8.187,8.222,7.412,9.273,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,False,9.263321137897574,913.0,166.0,2904.0,True,2904.0
https://www.daft.ie/for-rent/house-birchwood-drive-springfield-tallaght-dublin-24/6191182,"Birchwood Drive, Springfield, Tallaght, Dublin 24",3.0,1.0,House,,2355.0,53.2911981,-6.3826736,8.093,12.188,9.752,8.532,9.556,8.653,9.297,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,False,10.417700233909802,785.0,,,False,2355.0
https://www.daft.ie/for-rent/apartment-marlay-view-ballinteer-dublin-16/6216940,"Marlay View, Ballinteer, Dublin 16",2.0,2.0,Apartment,C3,2500.0,53.2736883,-6.2588786,7.173,6.957,3.194,2.817,6.596,7.844,6.195,St Stephen's Green,Sandymount Strand,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,8.463761692597261,1250.0,217.0,2717.0,True,2717.0
https://www.daft.ie/for-rent/house-42a-churchtown-road-upper-dublin-14-churchtown-dublin-14/6219263,"42a Churchtown Road Upper, Dublin 14, Churchtown, Dublin 14",4.0,5.0,House,E2,4750.0,53.2964951,-6.2644995,4.651,5.104,4.224,2.703,4.09,5.391,3.683,St Stephen's Green,Sandymount Strand,Raw Gyms Sandyford,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,5.933793320062103,1188.0,368.0,5118.0,True,5118.0
https://www.daft.ie/for-rent/house-waterloo-lane-ballsbridge-ballsbridge-dublin-4/6214619,"Waterloo Lane, Ballsbridge, Dublin 4",3.0,2.0,House,A3,6439.0,53.3320452,-6.2451702,0.847,2.317,1.621,1.778,0.793,1.327,0.914,Merrion Square Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,2.2150774886379176,2146.0,64.0,6503.0,True,6503.0
https://www.daft.ie/for-rent/newmarket-yards-newmarket-dublin-8/5527249,Newmarket Yards Newmarket Dublin 8,1.0,1.0,Apartment,A2,2192.0,53.3383188,-6.2764434,1.152,4.488,0.982,2.111,1.42,1.392,1.026,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,St Stephen's Green Luas,False,1.6668267626258897,2192.0,38.0,2230.0,True,2230.0
https://www.daft.ie/for-rent/house-hollybank-road-drumcondra-drumcondra-dublin-9/6199694,"Hollybank Road, Drumcondra, Dublin 9",3.0,1.0,House,C2,3549.0,53.367164,-6.2577102,3.147,5.253,2.593,1.16,1.17,1.802,2.017,Merrion Square Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Connolly Station,Abbey Street Luas,False,1.9384226149099004,1183.0,192.0,3741.0,True,3741.0
