URL,Address,Bedrooms,Bathrooms,Property Type,BER Rating,Price (€),lat,lon,nearest_park_km_y,nearest_beach_km_y,nearest_gym_km_y,nearest_supermarket_km_y,nearest_bus_stop_km_y,nearest_rail_station_km_y,nearest_tram_stop_km_y,nearest_park_name_y,nearest_beach_name_y,nearest_gym_name_y,nearest_supermarket_name_y,nearest_bus_stop_name_y,nearest_rail_station_name_y,nearest_tram_stop_name_y,distance_to_city_centre_km,price_per_bedroom,energy_monthly_estimate,effective_monthly_cost
https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-bracken-hill-ballinteer-dublin-16/6217523,"2 Bedroom Apartment, Bracken Hill, Ballinteer, Dublin 16",2.0,2.0,Apartment,B3,2630.0,44.9951619,-83.8715598,5429.09,5437.577,5432.718,5432.382,5432.429,5431.854,5433.656,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,5433.629837921387,1315.0,80.0,2710.0
https://www.daft.ie/for-rent/apartment-30-main-street-chapelizod-dublin-20/6200569,"30 Main Street, Chapelizod, Dublin 20",3.0,1.0,Apartment,BER Exempt,2650.0,53.3496273,-6.3443507,1.247,9.166,5.466,4.954,4.965,3.508,5.566,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,5.578940296886517,883.3333333333334,80.0,2730.0
https://www.daft.ie/for-rent/apartment-saint-pappin-road-glasnevin-glasnevin-dublin-11/6208637,"Saint Pappin Road, Glasnevin, Glasnevin, Dublin 11",2.0,1.0,Apartment,BER Exempt,2560.0,53.386114,-6.268046,5.241,7.388,1.478,2.752,2.805,4.013,4.146,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Connolly Station,Abbey Street Luas,4.070505846425453,1280.0,80.0,2640.0
https://www.daft.ie/for-rent/apartment-37-herberton-park-dublin-8-rialto-dublin-8/6147280,"Herberton Park, Dublin 8, Rialto, Dublin 8",1.0,1.0,Studio,BER Exempt,1675.0,53.3354931,-6.298023,2.602,5.847,2.435,2.778,2.738,1.336,2.481,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,St Stephen's Green Luas,2.9668717225407955,1675.0,80.0,1755.0
https://www.daft.ie/for-rent/apartment-1-bedroom-apartment-the-oslo-sandyford-central-sandyford-dublin-18/5426428,"1 Bedroom Apartment , The Oslo, Sandyford Central , Sandyford, Dublin 18",1.0,1.0,Apartment,A3,2120.0,48.8754729,2.2958503,773.485,762.163,768.945,769.565,775.154,775.365,774.981,St Anne's Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,776.4367917868648,2120.0,50.0,2170.0
https://www.daft.ie/for-rent/apartment-bushy-park-house-templeogue-road-terenure-dublin-6w/6210119,"Bushy Park House, Templeogue Road, Terenure, Dublin 6W",3.0,2.0,House,B3,4200.0,53.3000794,-6.2940904,4.834,6.422,5.098,3.042,4.413,5.209,4.039,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,5.966785466575885,1400.0,80.0,4280.0
https://www.daft.ie/for-rent/studio-apartment-serviced-studio-apartments-niche-living-serviced-studio-apartments-ardee-road-rathmines-dublin-6/5705486,"Serviced Studio Apartments, Niche Living, Serviced Studio Apartments, Ardee Road, Rathmines, Dublin 6",1.0,1.0,Studio,A3,1990.0,-27.9171289,153.4031743,16727.528,16727.159,16728.986,16732.492,16732.519,16732.237,16733.078,St Anne's Park,Dollymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Connolly Station,Abbey Street Luas,16732.98605386548,1990.0,50.0,2040.0
https://www.daft.ie/for-rent/apartment-65-morehampton-square-donnybrook-dublin-4/6192230,"65 Morehampton Square, Donnybrook, Dublin 4",2.0,1.0,Apartment,D1,3000.0,53.3270826,-6.2440589,1.401,2.234,2.082,1.509,1.082,1.884,0.974,Merrion Square Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,2.7465796715303474,1500.0,215.0,3215.0
https://www.daft.ie/for-rent/apartment-3-bed-apartment-castle-view-muirfield-drive-dublin-12-bluebell-dublin-12/4272064,"3 bed apartment , Castle View, Muirfield Drive, Dublin 12, Bluebell, Dublin 12",3.0,2.0,Apartment,A1,3350.0,27.6811746,85.3067671,7667.154,7665.428,7670.988,7671.848,7673.258,7672.327,7673.295,St Anne's Park,Dollymount Strand,Ben Dunne Gym Northside,Tesco Merrion,O'Connell St Stop,Connolly Station,Abbey Street Luas,7673.247552240383,1116.6666666666667,50.0,3400.0
https://www.daft.ie/for-rent/apartment-apartment-182-block-d-castleforbes-square-dubli-ifsc-dublin-1/6215314,"Apartment 182, Block D, Castleforbes Square, Dubli, IFSC, Dublin 1",1.0,1.0,Apartment,C2,2100.0,28.6316758,77.304413,7076.444,7074.545,7080.554,7080.706,7082.464,7081.534,7082.495,St Anne's Park,Dollymount Strand,Ben Dunne Gym Northside,Tesco Merrion,O'Connell St Stop,Connolly Station,Abbey Street Luas,7082.454169025757,2100.0,140.0,2240.0
