url,image_url
https://www.daft.ie/for-rent/apartment-botanic-avenue-drumcondra-dublin-9/6204329,https://media.daft.ie/eyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsib3ZlcmxheVdpdGgiOnsiYnVja2V0IjoibWVkaWFtYXN0ZXItczNldSIsIm9wdGlvbnMiOnsiZ3Jhdml0eSI6ImNlbnRyZSJ9LCJrZXkiOiJ3YXRlcm1hcmstZGFmdC1sb2dvLXh4bGFyZ2UtdjQucG5nIn0sInJlc2l6ZSI6eyJmaXQiOiJjb3ZlciIsIndpZHRoIjoxNDQwLCJoZWlnaHQiOjk2MH19LCJvdXRwdXRGb3JtYXQiOiJqcGVnIiwia2V5IjoiYS82L2E2OGFjMzVkLWMzN2YtNDBkOC04ZDE0LWMxYmQ3ZWRkZjg0MS5KUEVHIn0=?signature=18ef2214227d81f720a5c09378195eeb37d04502f196e5454a0d163687c5d799
https://www.daft.ie/for-rent/apartment-71-amiens-street-north-strand-dublin-3/6194079,https://dist-property-frontend-daft.daft.ie/static/images/meta/meta-buy-homepage.jpg
https://www.daft.ie/for-rent/studio-apartment-clonliffe-road-drumcondra-dublin-3/6217666,https://dist-property-frontend-daft.daft.ie/static/images/meta/meta-buy-homepage.jpg
https://www.daft.ie/for-rent/studio-apartment-60-pembroke-road-dublin-4-ballsbridge-dublin-4/6107520,https://dist-property-frontend-daft.daft.ie/static/images/meta/meta-buy-homepage.jpg
https://www.daft.ie/for-rent/apartment-ushers-quay-dublin-8-christchurch-dublin-8/6157183,https://dist-property-frontend-daft.daft.ie/static/images/meta/meta-buy-homepage.jpg
https://www.daft.ie/for-rent/studio-apartment-lorcan-avenue-beaumont-dublin-9/6211580,https://dist-property-frontend-daft.daft.ie/static/images/meta/meta-buy-homepage.jpg
https://www.daft.ie/for-rent/apartment-rathfarnham-mill-dublin-14/6210080,https://media.daft.ie/eyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsib3ZlcmxheVdpdGgiOnsiYnVja2V0IjoibWVkaWFtYXN0ZXItczNldSIsIm9wdGlvbnMiOnsiZ3Jhdml0eSI6ImNlbnRyZSJ9LCJrZXkiOiJ3YXRlcm1hcmstZGFmdC1sb2dvLXh4bGFyZ2UtdjQucG5nIn0sInJlc2l6ZSI6eyJmaXQiOiJjb3ZlciIsIndpZHRoIjoxNDQwLCJoZWlnaHQiOjk2MH19LCJvdXRwdXRGb3JtYXQiOiJqcGVnIiwia2V5IjoiMC8yLzAyYzMwOTE1LTY1YzgtNGJkNS05ZDM0LTIwMDJkNmRiODc1MC5KUEVHIn0=?signature=d55e23bb0dd8169ede88f1884e93d65b760be202c6bd5c61f084e5876b2dfbf6
https://www.daft.ie/for-rent/house-18-saint-johns-road-dublin-22-clondalkin-dublin-22/6218021,https://dist-property-frontend-daft.daft.ie/static/images/meta/meta-buy-homepage.jpg
https://www.daft.ie/for-rent/house--south-avenue-mount-merrion-mount-merrion-co-dublin/6220406,https://dist-property-frontend-daft.daft.ie/static/images/meta/meta-buy-homepage.jpg
https://www.daft.ie/for-rent/st-edmunds-st-edmunds-lucan-co-dublin/2315129,https://dist-property-frontend-daft.daft.ie/static/images/meta/meta-buy-homepage.jpg
